Date,Plant_ID,Plant_Name,Machine_ID,Machine_Type,Product_Line,Shift,Production_Units,Production_Value,Target_Production,Availability,Performance,Quality_Rate,OEE,Order_ID,Order_Date,Order_Value,Order_Due_Date,Order_Status,Billing_Date,Payment_Date,Downtime_Minutes,Downtime_Hours,Downtime_Reason,MTBF,MTTR,Fulfillment_Status,Fulfillment_Days
2023-01-01,P01,Pune,M001,Milling,Suspension,Night,816,311712,855,87,85,96,63.27,,,,,,,,57,0.95,Tool Change,173,31,,
2023-01-01,P01,Pune,M002,Drill,Suspension,Night,927,368019,1059,88,88,98,74.09,,,,,,,,31,0.516666667,Power Outage,123,44,,
2023-01-01,P01,Pune,M003,Welder,Engine Parts,Morning,1227,484665,1190,95,87,96,75.98,ORD1001,2022-12-25,563712,2022-12-30,Processing,,,24,0.4,Electrical Fault,167,41,Delayed,10
2023-01-01,P01,Pune,M004,Lathe,Transmission,Morning,721,257397,847,95,87,98,73.46,ORD1002,2022-12-29,247593,2023-01-03,Paid,2022-12-31,2023-01-02,30,0.5,Electrical Fault,191,20,OnTime,3
2023-01-01,P01,Pune,M005,Milling,Exhaust,Morning,661,253824,1102,89,92,98,57.47,,,,,,,,172,2.866666667,Software Issue,143,37,,
2023-01-01,P01,Pune,M006,Welder,Transmission,Morning,873,363168,865,92,88,98,75.81,ORD1003,2022-12-29,544448,2023-01-03,Processing,,,45,0.75,Software Issue,113,35,Delayed,11
2023-01-01,P01,Pune,M007,Welder,Engine Parts,Night,1112,420336,1178,81,83,96,62.29,,,,,,,,39,0.65,Mechanical Failure,134,35,,
2023-01-01,P01,Pune,M008,Press,Chassis,Morning,892,317552,1031,90,96,99,82.44,,,,,,,,12,0.2,Mechanical Failure,181,24,,
2023-01-01,P01,Pune,M009,Welder,Suspension,Morning,966,358386,1082,92,94,99,78.84,,,,,,,,49,0.816666667,Electrical Fault,122,37,,
2023-01-01,P01,Pune,M010,Press,Exhaust,Night,964,395240,1089,81,82,95,62.47,,,,,,,,10,0.166666667,Tool Change,106,21,,
2023-01-01,P01,Pune,M011,Welder,Exhaust,Night,735,277830,861,89,80,95,66.45,,,,,,,,21,0.35,Tool Change,167,40,,
2023-01-01,P01,Pune,M012,Press,Engine Parts,Morning,797,296484,886,91,91,99,72.41,,,,,,,,40,0.666666667,Preventive Maintenance,109,20,,
2023-01-01,P01,Pune,M013,Milling,Transmission,Morning,1082,446866,1076,92,91,99,80.46,,,,,,,,18,0.3,Software Issue,193,41,,
2023-01-01,P01,Pune,M014,Welder,Exhaust,Night,774,270900,836,78,87,97,60.74,ORD1004,2022-12-25,595449,2022-12-30,Shipped,,,12,0.2,Preventive Maintenance,144,29,OnTime,7
2023-01-01,P01,Pune,M015,Welder,Engine Parts,Night,843,318654,982,79,84,95,61.57,ORD1005,2022-12-31,345279,2023-01-05,Produced,,,30,0.5,Software Issue,123,22,Delayed,8
2023-01-01,P01,Pune,M016,Press,Chassis,Morning,802,315186,918,91,96,98,81.78,,,,,,,,39,0.65,Operator Error,168,17,,
2023-01-01,P01,Pune,M017,CNC,Transmission,Night,986,360876,950,89,79,96,61.68,ORD1006,2022-12-31,464556,2023-01-06,Produced,,,31,0.516666667,Operator Error,125,37,Delayed,6
2023-01-01,P01,Pune,M018,CNC,Brakes,Morning,1020,378420,1084,88,93,98,73.56,,,,,,,,23,0.383333333,Power Outage,171,33,,
2023-01-01,P01,Pune,M019,Drill,Exhaust,Night,735,297675,838,76,86,96,56.51,ORD1007,2022-12-25,200279,2023-01-03,Processing,,,46,0.766666667,Software Issue,117,33,Delayed,14
2023-01-01,P01,Pune,M020,Lathe,Exhaust,Morning,863,352967,997,90,96,97,67.86,,,,,,,,57,0.95,Mechanical Failure,157,26,,
2023-01-01,P01,Pune,M021,Press,Brakes,Night,897,366873,1045,75,84,96,55.31,,,,,,,,41,0.683333333,Calibration,120,43,,
2023-01-01,P01,Pune,M022,Grinder,Suspension,Night,782,301070,818,88,90,98,75.92,ORD1008,2022-12-27,455579,2023-01-03,Billed,2022-12-31,,32,0.533333333,Operator Error,182,17,OnTime,5
2023-01-01,P01,Pune,M023,Press,Brakes,Night,1159,450851,1128,75,91,95,56.55,ORD1009,2022-12-29,318558,2023-01-08,Shipped,,,25,0.416666667,Material Shortage,163,40,OnTime,3
2023-01-01,P01,Pune,M024,CNC,Brakes,Night,899,366792,1057,85,92,95,70.17,,,,,,,,39,0.65,Mechanical Failure,191,25,,
2023-01-01,P01,Pune,M025,Drill,Engine Parts,Night,935,351560,1022,76,91,96,57.96,,,,,,,,45,0.75,Mechanical Failure,148,45,,
2023-01-01,P02,Chennai,M001,Milling,Chassis,Morning,1201,441968,1196,95,96,96,70.11,,,,,,,,60,1,Quality Check,179,36,,
