Date,Plant_ID,Plant_Name,Machine_ID,Machine_Type,Product_Line,Shift,Production_Units,Production_Value,Target_Production,Availability,Performance,Quality_Rate,OEE
01-01-2023,P01,Pune,M001,Milling,Suspension,Night,816,311712,855,87,85,96,63.27
01-01-2023,P01,Pune,M002,Drill,Suspension,Night,927,368019,1059,88,88,98,74.09
01-01-2023,P01,Pune,M003,Welder,Engine Parts,Morning,1227,484665,1190,95,87,96,75.98
01-01-2023,P01,Pune,M004,Lathe,Transmission,Morning,721,257397,847,95,87,98,73.46
01-01-2023,P01,Pune,M005,Milling,Exhaust,Morning,661,253824,1102,89,92,98,57.47
01-01-2023,P01,Pune,M006,Welder,Transmission,Morning,873,363168,865,92,88,98,75.81
01-01-2023,P01,Pune,M007,Welder,Engine Parts,Night,1112,420336,1178,81,83,96,62.29
01-01-2023,P01,Pune,M008,Press,Chassis,Morning,892,317552,1031,90,96,99,82.44
01-01-2023,P01,Pune,M009,Welder,Suspension,Morning,966,358386,1082,92,94,99,78.84
01-01-2023,P01,Pune,M010,Press,Exhaust,Night,964,395240,1089,81,82,95,62.47
01-01-2023,P01,Pune,M011,Welder,Exhaust,Night,735,277830,861,89,80,95,66.45
01-01-2023,P01,Pune,M012,Press,Engine Parts,Morning,797,296484,886,91,91,99,72.41
01-01-2023,P01,Pune,M013,Milling,Transmission,Morning,1082,446866,1076,92,91,99,80.46
01-01-2023,P01,Pune,M014,Welder,Exhaust,Night,774,270900,836,78,87,97,60.74
01-01-2023,P01,Pune,M015,Welder,Engine Parts,Night,843,318654,982,79,84,95,61.57
01-01-2023,P01,Pune,M016,Press,Chassis,Morning,802,315186,918,91,96,98,81.78
01-01-2023,P01,Pune,M017,CNC,Transmission,Night,986,360876,950,89,79,96,61.68
01-01-2023,P01,Pune,M018,CNC,Brakes,Morning,1020,378420,1084,88,93,98,73.56
01-01-2023,P01,Pune,M019,Drill,Exhaust,Night,735,297675,838,76,86,96,56.51
01-01-2023,P01,Pune,M020,Lathe,Exhaust,Morning,863,352967,997,90,96,97,67.86
01-01-2023,P01,Pune,M021,Press,Brakes,Night,897,366873,1045,75,84,96,55.31
01-01-2023,P01,Pune,M022,Grinder,Suspension,Night,782,301070,818,88,90,98,75.92
01-01-2023,P01,Pune,M023,Press,Brakes,Night,1159,450851,1128,75,91,95,56.55
01-01-2023,P01,Pune,M024,CNC,Brakes,Night,899,366792,1057,85,92,95,70.17
01-01-2023,P01,Pune,M025,Drill,Engine Parts,Night,935,351560,1022,76,91,96,57.96
01-01-2023,P02,Chennai,M001,Milling,Chassis,Morning,1201,441968,1196,95,96,96,70.11
01-01-2023,P02,Chennai,M002,Welder,Engine Parts,Night,1056,390720,1006,80,81,97,63.35
01-01-2023,P02,Chennai,M003,Press,Brakes,Night,884,329732,941,82,86,98,66.57
01-01-2023,P02,Chennai,M004,Milling,Brakes,Night,941,373577,1002,76,86,95,52.07
01-01-2023,P02,Chennai,M005,CNC,Brakes,Morning,835,302270,803,87,87,98,64.52
01-01-2023,P02,Chennai,M006,Press,Chassis,Morning,861,324597,887,89,91,98,65.33
01-01-2023,P02,Chennai,M007,Drill,Transmission,Morning,958,341048,1027,98,87,98,74.32
01-01-2023,P02,Chennai,M008,Lathe,Exhaust,Night,788,327020,857,82,90,96,70.89
01-01-2023,P02,Chennai,M009,Grinder,Engine Parts,Night,1058,411562,1040,90,89,96,75.13
01-01-2023,P02,Chennai,M010,Welder,Transmission,Night,1010,400970,1047,78,91,95,60.74
01-01-2023,P02,Chennai,M011,Press,Brakes,Night,1227,436812,1181,84,79,97,59.47
01-01-2023,P02,Chennai,M012,CNC,Chassis,Night,1020,363120,1134,87,81,98,65.18
01-01-2023,P02,Chennai,M013,Grinder,Transmission,Night,874,314640,869,78,90,96,60.76
01-01-2023,P02,Chennai,M014,Drill,Transmission,Morning,965,359945,1051,93,93,97,79.26
01-01-2023,P02,Chennai,M015,Lathe,Suspension,Night,868,320292,905,85,80,95,58.98
01-01-2023,P02,Chennai,M016,Press,Transmission,Morning,744,294624,831,95,88,97,74.33
01-01-2023,P02,Chennai,M017,CNC,Engine Parts,Morning,881,340066,911,92,91,96,75.18
01-01-2023,P02,Chennai,M018,Milling,Suspension,Night,891,323433,940,90,80,97,67.81
01-01-2023,P02,Chennai,M019,Milling,Brakes,Night,1028,423536,1002,76,92,96,55.18
01-01-2023,P02,Chennai,M020,Drill,Exhaust,Morning,814,289784,895,96,88,97,68.57
01-01-2023,P02,Chennai,M021,Lathe,Exhaust,Night,1152,476928,1109,82,91,95,67.98
01-01-2023,P02,Chennai,M022,Press,Chassis,Morning,1034,382580,1126,94,86,97,72.96
01-01-2023,P02,Chennai,M023,Press,Exhaust,Morning,1117,412173,1149,88,85,97,63.41
01-01-2023,P02,Chennai,M024,Grinder,Exhaust,Morning,828,321264,912,86,96,99,75.66
01-01-2023,P02,Chennai,M025,Drill,Chassis,Night,970,373450,1028,83,87,97,62.48
01-01-2023,P03,Gurgaon,M001,Press,Engine Parts,Morning,725,295800,849,85,96,98,75.54
01-01-2023,P03,Gurgaon,M002,Press,Brakes,Morning,977,396662,976,94,97,96,82.16
01-01-2023,P03,Gurgaon,M003,Welder,Chassis,Morning,864,334368,928,91,97,99,80.37
01-01-2023,P03,Gurgaon,M004,Grinder,Exhaust,Morning,897,320229,1042,96,93,98,75.77
01-01-2023,P03,Gurgaon,M005,Welder,Engine Parts,Night,1062,441792,1175,87,90,96,68.33
01-01-2023,P03,Gurgaon,M006,Drill,Engine Parts,Morning,789,325068,909,98,90,98,84.53
01-01-2023,P03,Gurgaon,M007,Press,Engine Parts,Morning,989,346150,1058,98,97,99,86.54
01-01-2023,P03,Gurgaon,M008,Milling,Transmission,Night,1057,440769,1017,90,87,96,70.77
01-01-2023,P03,Gurgaon,M009,Drill,Exhaust,Morning,1025,412050,1183,88,89,99,68.32
01-01-2023,P03,Gurgaon,M010,Grinder,Transmission,Morning,965,402405,934,89,86,98,71.79
01-01-2023,P03,Gurgaon,M011,Drill,Chassis,Night,1013,423434,967,77,89,97,63.95
01-01-2023,P03,Gurgaon,M012,Press,Transmission,Morning,809,326836,937,91,93,99,80.66
01-01-2023,P03,Gurgaon,M013,Lathe,Transmission,Morning,1059,390771,1161,88,85,97,62.9
01-01-2023,P03,Gurgaon,M014,Grinder,Engine Parts,Night,918,324972,1062,86,87,98,64.04
01-01-2023,P03,Gurgaon,M015,Lathe,Transmission,Morning,1060,424000,1096,90,91,98,73.9
01-01-2023,P03,Gurgaon,M016,Lathe,Suspension,Night,1048,395096,1086,81,83,97,56.12
01-01-2023,P03,Gurgaon,M017,Grinder,Engine Parts,Night,1006,422520,1051,78,87,97,59.92
01-01-2023,P03,Gurgaon,M018,Press,Transmission,Morning,1156,430032,1186,91,86,96,70.25
01-01-2023,P03,Gurgaon,M019,Grinder,Suspension,Night,880,314160,880,78,92,98,64.47
01-01-2023,P03,Gurgaon,M020,Welder,Chassis,Morning,1084,415172,1093,86,86,97,66.29
01-01-2023,P03,Gurgaon,M021,Drill,Transmission,Night,1075,411725,1063,79,85,95,58.27
01-01-2023,P03,Gurgaon,M022,Welder,Chassis,Morning,885,326565,905,88,88,98,69.1
01-01-2023,P03,Gurgaon,M023,Welder,Exhaust,Morning,811,310613,833,93,89,99,73.62
01-01-2023,P03,Gurgaon,M024,Drill,Exhaust,Night,963,342828,1063,84,81,95,60.89
01-01-2023,P03,Gurgaon,M025,Press,Brakes,Night,993,397200,1157,79,88,95,58.68
01-01-2023,P04,Bengaluru,M001,Press,Suspension,Night,1121,443916,1198,76,81,95,58.27
01-01-2023,P04,Bengaluru,M002,CNC,Suspension,Night,934,374534,980,79,85,98,54.13
01-01-2023,P04,Bengaluru,M003,Welder,Chassis,Night,721,282632,809,79,82,96,58.81
01-01-2023,P04,Bengaluru,M004,Press,Suspension,Night,729,297432,843,85,92,97,63.28
01-01-2023,P04,Bengaluru,M005,Welder,Suspension,Night,873,344835,999,85,91,97,66.69
01-01-2023,P04,Bengaluru,M006,CNC,Exhaust,Morning,919,321650,1023,90,94,96,80.12
01-01-2023,P04,Bengaluru,M007,Drill,Brakes,Morning,940,357200,932,87,96,98,73.21
01-01-2023,P04,Bengaluru,M008,Lathe,Suspension,Morning,917,358547,944,88,88,98,71.55
01-01-2023,P04,Bengaluru,M009,Drill,Exhaust,Morning,749,304094,832,92,95,99,82.01
01-01-2023,P04,Bengaluru,M010,Welder,Chassis,Morning,800,324000,892,85,86,98,61.81
01-01-2023,P04,Bengaluru,M011,Milling,Exhaust,Night,1067,373450,1159,83,79,98,64.26
01-01-2023,P04,Bengaluru,M012,Grinder,Brakes,Night,914,337266,934,78,82,96,59.01
01-01-2023,P04,Bengaluru,M013,Grinder,Brakes,Night,903,359394,1063,81,85,96,58.18
01-01-2023,P04,Bengaluru,M014,CNC,Exhaust,Night,1177,419012,1148,76,90,97,59.43
01-01-2023,P04,Bengaluru,M015,Lathe,Exhaust,Night,826,294056,857,89,78,98,62.8
01-01-2023,P04,Bengaluru,M016,Lathe,Exhaust,Night,1020,409020,1106,87,81,98,62.21
01-01-2023,P04,Bengaluru,M017,Lathe,Transmission,Morning,865,324375,884,85,89,96,60.7
01-01-2023,P04,Bengaluru,M018,Milling,Engine Parts,Night,878,345054,970,87,78,97,59.6
01-01-2023,P04,Bengaluru,M019,Press,Engine Parts,Night,1047,434505,1072,78,85,96,51.5
01-01-2023,P04,Bengaluru,M020,CNC,Brakes,Night,894,365646,1026,88,91,97,72.06
01-01-2023,P04,Bengaluru,M021,Drill,Engine Parts,Night,977,344881,994,81,78,98,56.73
01-01-2023,P04,Bengaluru,M022,Lathe,Chassis,Night,1164,439992,1167,77,89,96,58.25
01-01-2023,P04,Bengaluru,M023,Press,Engine Parts,Night,1008,423360,1097,80,79,98,59.96
01-01-2023,P04,Bengaluru,M024,Press,Engine Parts,Night,799,319600,931,88,79,98,64.03
01-01-2023,P04,Bengaluru,M025,Lathe,Exhaust,Night,949,390039,948,75,92,96,58.81
01-01-2023,P05,Delhi,M001,Grinder,Chassis,Night,978,359904,1039,79,80,97,59.3
01-01-2023,P05,Delhi,M002,Drill,Engine Parts,Morning,769,279916,810,98,86,97,72.67
01-01-2023,P05,Delhi,M003,Lathe,Engine Parts,Night,1152,421632,1129,88,83,97,58.6
01-01-2023,P05,Delhi,M004,Drill,Brakes,Morning,1067,375584,1126,89,95,96,79.41
01-01-2023,P05,Delhi,M005,Drill,Exhaust,Night,1147,469123,1136,82,89,98,68.75
01-01-2023,P05,Delhi,M006,Milling,Chassis,Night,1081,409699,1135,76,89,96,59.61
01-01-2023,P05,Delhi,M007,Grinder,Exhaust,Night,891,341253,1030,88,84,97,58.7
01-01-2023,P05,Delhi,M008,Grinder,Transmission,Morning,1000,351000,1141,98,90,96,77.22
01-01-2023,P05,Delhi,M009,CNC,Brakes,Morning,798,335160,817,92,94,98,82.94
01-01-2023,P05,Delhi,M010,Grinder,Engine Parts,Night,1058,430606,1108,86,78,95,53.7
01-01-2023,P05,Delhi,M011,Milling,Chassis,Night,990,398970,998,84,90,96,69.86
01-01-2023,P05,Delhi,M012,CNC,Engine Parts,Night,1010,381780,1175,83,91,97,64.84
01-01-2023,P05,Delhi,M013,Milling,Brakes,Morning,941,356639,1064,91,87,96,71.73
01-01-2023,P05,Delhi,M014,Milling,Suspension,Night,948,385836,1083,76,82,97,57.49
01-01-2023,P05,Delhi,M015,Grinder,Suspension,Morning,1026,427842,1087,92,90,98,68.09
01-01-2023,P05,Delhi,M016,CNC,Brakes,Night,1030,391400,991,79,79,96,50.56
01-01-2023,P05,Delhi,M017,Grinder,Exhaust,Morning,782,290904,890,90,90,96,65.13
01-01-2023,P05,Delhi,M018,Lathe,Suspension,Night,1061,431827,1198,83,90,97,66.79
01-01-2023,P05,Delhi,M019,Press,Chassis,Night,864,341280,922,90,82,98,61.96
01-01-2023,P05,Delhi,M020,Welder,Exhaust,Morning,1017,361035,1112,95,93,96,75.87
01-01-2023,P05,Delhi,M021,Welder,Brakes,Night,953,343080,1075,84,82,95,60.13
01-01-2023,P05,Delhi,M022,Milling,Exhaust,Morning,946,393536,1060,92,93,96,80.94
01-01-2023,P05,Delhi,M023,Grinder,Exhaust,Night,1047,386343,1191,81,86,95,58.25
01-01-2023,P05,Delhi,M024,Press,Brakes,Morning,1104,458160,1062,93,95,98,76.82
01-01-2023,P05,Delhi,M025,Lathe,Chassis,Night,887,355687,958,79,88,98,63.5
02-01-2023,P01,Pune,M001,Milling,Chassis,Morning,1109,449145,1088,88,89,96,71.8
